Model Year,Vehicle Manufacturer Name,Veh Mfr Code,Represented Test Veh Make,Represented Test Veh Model,Test Vehicle ID,Test Veh Configuration #,Test Veh Displacement (L),Actual Tested Testgroup,Vehicle Type,Rated Horsepower,# of Cylinders and Rotors,Engine Code,Tested Transmission Type Code,Tested Transmission Type,# of Gears,Transmission Lockup?,Drive System Code,Drive System Description,Transmission Overdrive Code,Transmission Overdrive Desc,Equivalent Test Weight (lbs.),Axle Ratio,N/V Ratio,Shift Indicator Light Use Cd,Shift Indicator Light Use Desc,Test Number,Test Originator,Analytically Derived FE?,ADFE Test Number,ADFE Total Road Load HP,ADFE Equiv. Test Weight (lbs.),ADFE N/V Ratio,Test Procedure Cd,Test Procedure Description,Test Fuel Type Cd,Test Fuel Type Description,Test Category,THC (g/mi),CO (g/mi),CO2 (g/mi),NOx (g/mi),PM (g/mi),CH4 (g/mi),N2O (g/mi),RND_ADJ_FE,FE_UNIT,FE Bag 1,FE Bag 2,FE Bag 3,FE Bag 4,Target Coef A (lbf),Target Coef B (lbf/mph),Target Coef C (lbf/mph**2),Set Coef A (lbf),Set Coef B (lbf/mph),Set Coef C (lbf/mph**2),Aftertreatment Device Cd,Aftertreatment Device Desc,Police - Emergency Vehicle?,Averaging Group ID,Averaging Weighting Factor,Averaging Method Cd,Averging Method Desc
2009,BMW,BMX,BMW,128i,VF06008,2,3.000,9BMXJ03.0E89,Both,230,6,2.8-M-N52-E82D,M,Manual,6,N,R,"2-Wheel Drive, Rear",2,Top gear ration < 1,3500,3.23,37.8,1,Not eqipped,9BMX10001334,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0004700,0.0006000,216.4000000,0.0010000,,,,40.9,MPG,,,,,32.800,0.11800,0.017520,14.800,-0.11700,0.018870,TWC,Three-way catalyst,N,,,N,No averaging
2009,BMW,BMX,BMW,128i,VF08014,0,3.000,9BMXJ03.0E89,Both,230,6,2.8-A-N52-E82R,A,Automatic,6,Y,R,"2-Wheel Drive, Rear",2,Top gear ration < 1,3625,3.73,34.5,1,Not eqipped,9BMX01078932,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0010900,0.0093000,218.4100000,0.0021000,,,,40.8,MPG,,,,,37.500,0.06500,0.018350,14.400,-0.05900,0.018520,TWC,Three-way catalyst,N,,,N,No averaging
2009,BMW,BMX,BMW,128i,VF08014,0,3.000,9BMXJ03.0E89,Both,230,6,2.8-A-N52-E82R,A,Automatic,6,Y,R,"2-Wheel Drive, Rear",2,Top gear ration < 1,3625,3.73,34.5,1,Not eqipped,9BMX01078951,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0271200,0.0647000,370.7100000,0.0144000,,,,23.9,MPG,,,,,37.500,0.06500,0.018350,14.400,-0.05900,0.018520,TWC,Three-way catalyst,N,,,N,No averaging
2009,BMW,BMX,BMW,128i Convertible,VF06008,1,3.000,8BMXB03.0N5R,Both,230,,2.8-M-N52-E88R,M,Manual,6,N,R,"2-Wheel Drive, Rear",2,Top gear ration < 1,3750,3.23,37.8,1,Not eqipped,8BMX91000061,EPA,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0027426,0.0135388,230.3951358,0.0016799,,0.0013677,,38.7,MPG,,,,,34.600,0.11800,0.019270,14.900,-0.05900,0.019860,,,N,,,N,No averaging
2009,BMW,BMX,BMW,128i Convertible,VF06008,1,3.000,8BMXB03.0N5R,Both,230,,2.8-M-N52-E88R,M,Manual,6,N,R,"2-Wheel Drive, Rear",2,Top gear ration < 1,3750,3.23,37.8,1,Not eqipped,8BMX91000063,EPA,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0312456,0.1159399,369.8757198,0.0104721,,0.0062508,,24.0,MPG,,,,,34.600,0.11800,0.019270,14.900,-0.05900,0.019860,,,N,,,N,No averaging
2009,BMW,BMX,BMW,135i,VF22010,2,3.000,9BMXV03.054R,Car,300,6,3.0-A-N54-E82R,M,Manual,6,N,R,"2-Wheel Drive, Rear",2,Top gear ration < 1,3625,3.08,37.2,1,Not eqipped,9BMX01079872,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0268500,0.1173000,407.1400000,0.0184000,,,,21.8,MPG,,,,,39.000,0.12900,0.018050,22.100,-0.19400,0.020440,TWC,Three-way catalyst,N,,,N,No averaging
2009,BMW,BMX,BMW,135i,VF22010,2,3.000,9BMXV03.054R,Car,300,6,3.0-A-N54-E82R,M,Manual,6,N,R,"2-Wheel Drive, Rear",2,Top gear ration < 1,3625,3.08,37.2,1,Not eqipped,9BMX01079873,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0007600,0,252.5200000,0.0041000,,,,35.1,MPG,,,,,39.000,0.12900,0.018050,22.100,-0.19400,0.020440,TWC,Three-way catalyst,N,,,N,No averaging
2009,BMW,BMX,BMW,328i,KX70000,0,3.000,9BMXJ03.0E89,Both,230,6,2.8-A-N52-E90D,A,Automatic,6,Y,R,"2-Wheel Drive, Rear",2,Top gear ration < 1,3750,3.73,34.9,1,Not eqipped,9BMX01070965,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0290600,0.1730000,374.7200000,0.0133000,,0.0020800,,23.7,MPG,,,,,38.700,0.06900,0.017470,13.800,-0.13800,0.018340,TWC,Three-way catalyst,N,,,N,No averaging
2009,BMW,BMX,BMW,328i,KX70000,0,3.000,9BMXJ03.0E89,Both,230,6,2.8-A-N52-E90D,A,Automatic,6,Y,R,"2-Wheel Drive, Rear",2,Top gear ration < 1,3750,3.73,34.9,1,Not eqipped,9BMX01070966,MFR,No,,,,,3,HWFE,23,CARB Phase II Gasoline,HWY,0.0003000,0.0221000,217.5800000,0.0026000,,,,40.9,MPG,,,,,38.700,0.06900,0.017470,13.800,-0.13800,0.018340,TWC,Three-way catalyst,N,,,N,No averaging
2009,BMW,BMX,BMW,328i,KX70000,1,3.000,9BMXJ03.0E89,Both,230,6,2.8-A-N52-E90D,A,Automatic,6,Y,R,"2-Wheel Drive, Rear",2,Top gear ration < 1,3750,3.73,34.8,1,Not eqipped,9BMX01070967,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0260300,0.2012000,385.3400000,0.0123000,,0.0019000,,23.1,MPG,,,,,42.900,0.06900,0.018050,18.100,-0.03500,0.017760,TWC,Three-way catalyst,N,,,N,No averaging
